content	x	y	w	h	
IN	777	453	62	48	
THE	920	450	145	47	
BLESSED	1124	446	324	43	
BIBLE	1511	438	238	45	
55	3530	402	97	74	
Words	2313	482	162	58	
by	2491	481	66	57	
@	2581	480	17	58	
.	2605	480	17	58	
D	2646	479	17	58	
.	2675	479	17	58	
SHERMAN	2713	478	202	57	
.	2923	476	17	58	
Music	2985	476	131	56	
by	3138	474	54	57	
J	3224	473	17	58	
.	3248	472	17	58	
M	3283	471	17	58	
.	3324	472	17	58	
STILLMAN	3356	471	208	56	
.	3572	468	17	58	
Moderato	615	548	202	48	
.	822	545	15	50	
1	526	751	18	60	
.	544	751	18	60	
Chil	623	748	115	60	
-	739	748	18	60	
dren	760	747	117	59	
,	886	745	18	60	
would	923	743	172	59	
you	1119	741	87	59	
know	1227	738	141	58	
the	1409	735	95	60	
sto	1560	733	78	58	
-	1666	730	18	60	
ry	1723	729	57	60	
,	1782	728	18	60	
Of	1883	726	79	60	
the	2013	724	95	59	
Sa	2157	721	56	60	
-	2222	721	18	60	
vior	2260	720	112	58	
,	2374	718	18	60	
loving	2418	717	161	57	
,	2587	713	18	60	
mild	2625	712	123	59	
,	2758	711	18	60	
How	2804	709	112	59	
He	2955	705	88	61	
left	3089	705	83	58	
the	3215	702	95	59	
realms	3323	700	190	58	
of	3521	696	66	60	
2	519	812	21	69	
.	547	811	21	69	
Would	598	809	179	68	
you	805	807	89	67	
know	939	804	144	67	
His	1149	800	90	69	
art	1295	798	80	68	
-	1387	797	21	69	
less	1407	797	108	67	
childhood	1540	794	271	65	
,	1821	789	21	69	
Free	1849	788	128	68	
from	1998	787	107	67	
sin	2163	784	70	68	
and	2268	782	89	68	
wicked	2385	778	201	68	
strife	2618	775	143	68	
,	2759	774	21	69	
Full	2808	771	118	68	
of	2961	770	52	69	
smiles	3031	769	171	66	
and	3210	766	99	68	
lov	3363	763	79	68	
-	3459	762	21	69	
ing	3503	761	79	68	
A	2219	1093	13	44	
Little	2273	1092	106	42	
Faster	2412	1089	133	41	
.	2552	1086	13	44	
glo	623	1349	74	63	
-	751	1347	19	64	
