content	x	y	w	h	
What	694	304	180	76	
a	909	304	22	76	
Friend	981	304	201	76	
We	1226	304	111	76	
have	1356	304	157	76	
in	1549	304	43	76	
Jesus	1655	304	158	76	
.	1817	304	22	76	
“	548	392	19	67	
There	588	392	100	67	
is	709	392	25	67	
a	745	392	19	67	
Friend	792	392	114	67	
that	933	392	68	67	
sticketh	1021	392	121	67	
closer	1171	392	95	67	
than	1278	392	77	67	
a	1378	392	19	67	
brother	1420	392	122	67	
.	1548	392	19	67	
”	1561	392	19	67	
—	1602	392	19	67	
Prov	1642	392	87	67	
.	1731	392	19	67	
18	1783	392	25	67	
:	1820	392	19	67	
24	1846	392	49	67	
.	1895	392	19	67	
Rev	468	479	82	53	
.	553	479	15	53	
H	591	479	15	53	
.	623	479	15	53	
BONAR	652	479	135	53	
.	790	479	15	53	
CHARLES	1409	467	189	74	
C	1613	467	21	74	
.	1635	467	21	74	
CONVERSE	1671	467	202	74	
.	1875	467	21	74	
By	1944	467	41	74	
per	2012	467	63	74	
.	2070	467	21	74	
1	406	743	13	48	
.	420	743	13	48	
What	445	743	108	48	
a	611	743	13	48	
friend	686	743	104	48	
we	800	743	63	48	
have	897	743	82	48	
in	1024	743	27	48	
Je	1105	743	36	48	
.	1175	743	13	48	
sus	1223	743	62	48	
,	1283	743	13	48	
2	406	793	13	48	
.	420	793	13	48	
Have	449	793	96	48	
we	585	793	61	48	
tri	701	793	48	48	
-	773	793	13	48	
als	806	793	49	48	
and	895	793	62	48	
temp	997	793	97	48	
-	1092	793	13	48	
ta	1107	793	27	48	
-	1170	793	13	48	
tions	1203	793	90	48	
?	1307	793	13	48	
3	405	847	11	41	
.	422	847	11	41	
Are	466	847	71	40	
we	584	846	52	41	
weak	674	846	94	41	
and	793	846	65	40	
heav	880	845	81	41	
-	993	845	11	41	
y	1031	845	11	41	
la	1107	844	22	41	
-	1165	844	11	41	
den	1221	844	59	41	
,	1291	844	11	41	
All	1376	743	55	48	
our	1505	743	62	48	
sins	1602	743	70	48	
and	1703	743	62	48	
griefs	1779	743	104	48	
to	1901	743	27	48	
bear	1946	743	82	48	
;	2037	743	13	48	
Is	1387	793	26	48	
there	1494	793	93	48	
trou	1615	793	74	48	
-	1694	793	13	48	
blea	1706	793	97	48	
-	1846	793	13	48	
ny	1877	793	45	48	
-	1924	793	13	48	
