content	x	y	w	h	
10	137	305	34	48	
.	177	305	13	48	
155	220	305	76	48	
.	304	305	13	48	
Will	544	302	152	102	
You	739	302	104	103	
?	856	303	29	102	
And	1005	304	117	102	
Will	1163	304	153	103	
J	1366	305	29	102	
?	1407	306	29	102	
“	552	421	12	40	
Strive	579	421	97	41	
to	693	422	22	40	
enter	728	423	83	41	
in	822	425	30	40	
at	871	425	31	40	
the	914	425	47	41	
strait	976	427	88	41	
gate	1074	428	63	40	
.	1139	428	12	40	
-	1180	429	12	40	
LUKE	1208	430	94	41	
13	1324	431	22	40	
:	1352	431	12	40	
24	1379	432	31	40	
.	1409	433	12	40	
Copyright	470	471	182	41	
,	652	472	11	40	
1891	675	472	63	40	
,	738	472	11	40	
by	763	473	37	40	
H	824	473	11	40	
.	848	473	11	40	
A	877	473	11	40	
.	898	473	11	40	
R	926	473	11	40	
.	951	473	11	40	
Horton	974	474	117	40	
.	1099	474	11	40	
Used	1148	474	73	41	
by	1237	475	45	40	
permission	1295	475	191	41	
.	1492	476	11	40	
H	260	511	11	42	
.	286	511	11	42	
A	321	511	11	42	
.	342	512	11	42	
R	377	512	11	42	
.	398	512	11	42	
H	433	512	11	42	
.	458	512	11	42	
H	1387	519	11	40	
.	1415	520	11	40	
A	1448	520	11	40	
.	1469	520	11	40	
R	1506	520	11	40	
.	1526	520	11	40	
HORTON	1551	520	145	41	
.	1706	521	11	40	
1	236	745	13	48	
.	255	745	13	48	
Some	291	745	120	49	
one	419	746	76	48	
willen	515	746	162	49	
-	701	747	13	48	
ter	739	747	54	49	
the	832	748	68	48	
gold	916	748	71	49	
-	1010	749	13	48	
en	1033	749	36	48	
gate	1105	749	80	48	
,	1191	750	13	48	
By	1215	750	54	48	
-	1279	750	13	48	
and	1301	750	75	48	
-	1382	750	13	48	
by	1394	750	43	49	
,	1446	751	13	48	
by	1485	751	52	48	
-	1554	751	13	48	
and	1575	751	76	49	
-	1656	752	13	48	
by	1666	752	53	48	
,	1720	752	13	48	
2	236	789	13	48	
.	255	789	13	48	
Some	291	789	120	49	
one	419	790	76	48	
will	508	790	83	49	
gen	625	791	62	48	
-	711	791	13	48	
tly	734	791	49	49	
in	844	792	27	48	
death	892	792	107	49	
lay	1014	793	62	48	
down	1083	793	108	48	
,	1196	794	13	48	
By	1217	794	45	48	
-	1279	794	13	48	
and	1301	794	69	48	
-	1382	794	13	48	
by	1394	794	43	49	
,	1441	795	13	48	
by	1485	795	52	48	
-	1554	795	13	48	
and	1575	795	69	49	
-	1656	796	13	48	
by	1668	796	45	48	
,	1720	796	13	48	
3	237	835	13	46	
.	255	835	13	46	
Some	295	835	116	47	
one	417	836	79	46	
will	513	836	79	47	
call	630	837	70	46	
at	741	837	42	47	
the	828	838	65	46	
pearl	900	838	109	47	
-	1012	839	13	46	
y	1040	839	13	46	
gate	1100	839	76	46	
,	1181	839	13	46	
By	1216	840	42	46	
-	1275	840	13	46	
and	1300	840	73	46	
-	1379	840	13	46	
by	1394	840	43	47	
,	1444	841	13	46	
by	1488	841	43	46	
-	1552	841	13	46	
and	1580	841	65	47	
-	1656	842	13	46	
by	1666	842	50	46	
,	1717	842	13	46	
4	234	879	13	46	
.	253	879	13	46	
Some	287	879	116	47	
one	414	880	72	46	
will	511	880	73	47	
sing	618	881	80	46	
the	726	881	66	47	
re	825	882	33	46	
-	864	882	13	46	
demp	877	882	118	46	
-	995	883	13	46	
tion	1015	883	66	46	
song	1102	883	89	46	
,	1193	884	13	46	
By	1212	884	50	46	
-	1277	884	13	46	
and	1304	884	66	46	
-	1381	884	13	46	
by	1390	884	51	47	
,	1442	885	13	46	
by	1484	885	51	46	
-	1550	885	13	46	
and	1576	885	71	47	
-	1653	886	13	46	
by	1670	886	41	46	
,	1719	886	13	46	
bolos	278	1083	26	55	
T	315	1130	41	11	
TT	316	1060	41	4	
Taste	295	1384	101	44	
of	425	1385	48	43	
the	513	1385	67	44	
bless	597	1386	96	43	
-	702	1386	12	43	
ings	715	1386	86	44	
for	839	1387	50	43	
them	909	1387	81	44	
a	1059	1388	12	43	
-	1094	1388	12	43	
wait	1123	1388	83	44	
,	1208	1389	12	43	
Will	1226	1389	86	43	
you	1329	1389	62	43	
,	1398	1389	12	43	
and	1430	1390	68	43	
will	1510	1390	79	43	
I	1626	1391	12	43	
?	1640	1391	12	43	
And	285	1428	79	43	
from	400	1429	70	42	
the	511	1429	65	43	
Say	610	1430	73	42	
-	697	1430	11	42	
ior	731	1430	49	43	
re	836	1431	38	42	
-	886	1431	11	42	
ceive	909	1431	100	43	
a	1054	1432	11	42	
crown	1087	1432	113	42	
,	1208	1433	11	42	
Will	1224	1433	91	42	
you	1326	1433	65	42	
?	1398	1433	11	42	
and	1429	1434	72	42	
will	1511	1434	78	42	
I	1626	1435	11	42	
?	1638	1435	11	42	
Hear	281	1472	102	43	
the	411	1473	66	42	
sad	514	1473	54	43	
